code,title,definition,longdefinition,inclusions,exclusions
8A43.5,Recurrent optic neuritis aquaporin-4 antibody positive,Two or more episodes of optic neuritis associated with seropositivity for aquaporin-4 antibodies but without sufficient features to fulfill the 2006 NMO diagnostic criteria.,,,
8A43.Y,Other specified neuromyelitis optica,,,,
8A43.Z,"Neuromyelitis optica, unspecified",,,,
8A44.0,Pelizaeus-Merzbacher disease,"Pelizaeus-Merzbacher disease (PMD) is an X-linked leukodystrophy characterised by developmental delay, nystagmus, hypotonia, spasticity, and variable intellectual deficit. It is classified into three sub-forms based on the age of onset and severity: connatal, transitional, and classic PMD.",,,
8A44.1,Adrenoleukodystrophy,X-linked genetic disorder associated with accumulation of very-long-chain fatty acids in the brain and adrenal cortex due to a mutation in the ABCD1 gene causing defects in peroxisomal oxidation. Neurological symptoms can present in childhood or adulthood with almost all patients having concurrent adrenal insufficiency.,,,
8A44.2,Alexander disease,"Alexander's disease is a neurodegenerative disorder encompassing different clinical forms: the infantile form (birth to 2 years), the most common, is characterised by its early onset and severe evolution with progressive megalencephaly (sometimes hydrocephaly), retarded psychomotor development or mental deterioration, pyramidal signs, ataxia and convulsive seizures. The juvenile forms start in school-aged children and associate spastic paraplegia and progressive bulbar signs. Adult forms are heterogeneous and difficult to diagnose.",,,
8A44.3,Certain specified leukodystrophies,,,,
8A44.4,Krabbe disease,"Krabbe disease, also called globoid cell leukodystrophy, is a sphingolipidosis resulting from galactosylceramidase (or galactocerebrosidase) deficiency, a lysosomal enzyme that catabolizes a major lipid component of myelin. The disease leads to demyelination of the central and peripheral nervous system which is rapidly progressive from the first year of life, but juvenile, adolescent or adult onset forms have also been reported, with a more variable rate of progression.",,,
8A44.Z,"Leukodystrophies, unspecified",,,,
8A45.00,Human T-cell lymphotropic virus-associated myelopathy,Human T-cell lymphotropic virus (HTLV) is a retrovirus and causes immune mediated diseases of the nervous system. Human T-cell lymphotropic virus type 1 (HTLV-1) and Human T-cell lymphotropic virus type 2 (HTLV-2) are closely related retroviruses with similar biological properties and common modes of transport.,,,
8A45.01,Subacute sclerosing panencephalitis,,,Dawson inclusion body encephalitis; Van Bogaert sclerosing leukoencephalopathy,
8A45.02,Progressive multifocal leukoencephalopathy,,,,
8A45.0Y,Other specified white matter disorders due to infections,,,,
8A45.0Z,"White matter disorders due to infections, unspecified",,,,
8A45.1,White matter disorders due to toxicity,,,,
8A45.20,White matter disorder due to CADASIL,,,,
8A45.21,Subacute necrotising myelitis,"Foix-Alajouanine syndrome, also called subacute ascending necrotising myelitis, results from chronic congestion of the extrinsic pial veins of the spinal cord and of the intrinsic subpial network. It is characterised by progressive ascending deficit over a period of several months or years.",,,
8A45.2Y,Other specified white matter disorders due to vascular abnormality or ischemia,,,,
8A45.2Z,"White matter disorders due to vascular abnormality or ischemia, unspecified",,,,
8A45.30,White matter disorder due to vitamin B12 deficiency,"Neurological features occur in 40% of patients with B12 deficiency. Subacute combined degeneration is a potentially reversible neurological complication of a vitamin B12 deficiency. Symptoms develop insidiously and neuropathic manifestations include progressive paraesthesia distally, numbness, gait ataxia and diminished proprioception in the lower limbs, while the myelopathic component leads to variable motor impairment due to pyramidal tract dysfunction. Incontinence of bowel and bladder with impotence and postural hypotension occur as part of the myelopathy. Central manifestations include confusion, depression, progressive hallucination and mental slowing. There may also be optic neuropathy present.",,,
8A45.31,Central pontine myelinolysis,,,,
8A45.3Y,Other specified white matter disorders due to nutritional deficiency,,,,
8A45.3Z,"White matter disorders due to nutritional deficiency, unspecified",,,,
8A45.40,Demyelination due to sarcoidosis,"Sarcoidosis can affect any part of the nervous system. It is estimated that about 5-15% of cases develop evidence of central nervous system involvement. Neurosarcoidosis may manifest in many different ways, diagnosis may be difficult. Neurosarcoidosis can appear in an acute explosive fashion or as a slow, chronic illness. Any part of the central nervous system can be attacked by sarcoidosis but chronic neurosarcoidosis can cause multiple cranial nerve palsies, parenchymatous cerebral involvement, hydrocephalus and encephalopathy or peripheral nervous system manifestations.",,,
8A45.41,Demyelination due to systemic lupus erythematosus,"Among the 12 systemic lupus erythematosus (SLE)-related central nervous system (CNS) syndromes defined by the American College of Rheumatology (ACR), demyelinating syndrome and myelopathy are two of the less prevalent and more poorly understood ones. One important issue concerning demyelinating disease in SLE is that it can be easily misdiagnosed with other central nervous system demyelinating disorders such as multiple sclerosis (MS).",,,
8A45.42,Demyelination due to Sjögren disease,,,,
8A45.43,Demyelination due to Behcet disease,,,,
8A45.44,Demyelination due to systemic vasculitis,"The CNS vasculature can be targeted by systemic vasculitis and include the following conditions~ 
Small-Medium Vessel Vasculitis - Wegener’s granulomatosis, microscopic polyangiitis, Churg-Strauss syndrome, Cryoglobulinemic vasculitis and Behçet’s disease.

Medium Vessel Vasculitis - Polyarteritis nodosa 

Large Vessel Vasculitis - Giant-cell arteritis, Takayasu’s arteritis (Neurologic complications are mainly due to involvement of extracranial vessels). 

Usually CNS involvement coexists with other clearly apparent systemic manifestations but some patients may present primarily with prominent symptoms of CNS dysfunction",,,
8A45.45,Demyelination due to mitochondrial disease,"Mitochondrial disorders can cause multifocal and relapsing central nervous system syndromes. Mitochondrial disorders which can cause such syndromes include Mitochondrial Encephalopathy with Lactic Acidosis and Stroke (MELAS), and Leigh's disease. MELAS is a progressive neurodegenerative disorder associated with headache, treatment resistant partial seizures, short stature, muscle weakness, exercise intolerance, deafness, diabetes, and slow progressive dementia. Leigh syndrome or subacute necrotizing encephalomyelopathy is the prototype mitochondrial disease, with hallmark neuroimaging findings.",,,
8A45.4Z,"White matter disorders due to certain specified systemic disease, unspecified",,,,
8A45.Y,Other specified secondary white matter disorders,,,,
8A45.Z,"Secondary white matter disorders, unspecified",,,,
8A46,Central demyelination of corpus callosum,"This is demyelination, damage to the myelin sheath of neurons, in the corpus callosum.",,,
8A4Y,Other specified multiple sclerosis or other white matter disorders,,,,
8A4Z,"Multiple sclerosis or other white matter disorders, unspecified",,,,
8A60.00,Epilepsy due to prenatal or perinatal vascular insults,"Epilepsy occurring in relation to an ischemic stroke or haemorrhagic stroke, with the stroke occurring or presumed to occur before birth [prenatal] or between 22 weeks of gestation and 7 days after birth [perinatal]. No other conditions associated with a substantially increased risk of developing epilepsy are present. Onset of epilepsy may be in infancy, childhood, or adulthood.",,,
8A60.01,Epilepsy due to neonatal hypoxic ischemic encephalopathy,,,,
8A60.0Y,Epilepsy due to other prenatal or perinatal brain insults,,,,
8A60.0Z,Epilepsy due to unspecified prenatal or perinatal brain insults,,,,
8A60.1,Epilepsy due to cerebrovascular disorders,"Epilepsy occurring in relation to a stroke, with onset at least one week following an ischemic or haemorrhagic stroke.",,,
8A60.2,Epilepsy due to degenerative brain disorders,"Epilepsy in relation to a degenerative brain disorder known to be associated with seizures, such as certain neuronal storage disorders (e.g. adult neuronal ceroid lipofuscinosis), and certain mitochondrial disorders.",,,
8A60.3,Epilepsy due to dementias,Epilepsy with onset in a patient with established diagnosis of dementia. Seizures may occur at any time after the disease onset. Focal onset seizures are the prevailing type in Alzheimer’s disease while seizures with bilateral convulsive activity predominate in other dementing disorders. Myoclonus is another common finding in patients with Alzheimer’s disease.,,,
8A60.4,Epilepsy due to central nervous system infections or infestations,Epilepsy with onset in a patient with a documented CNS infection or infestation after the acute phase of the disease.,,Epilepsy due to parasitic diseases,
8A60.5,Epilepsy due to injuries to the head,"Epilepsy occurring in relation to a traumatic brain injury. Onset is more than 1 week following the trauma, with risk increasing with the severity of brain injury.",,,
8A60.6,Epilepsy due to tumours of the nervous system,"Epilepsy occurring in relation to intracranial tumours. The epilepsy may be the presenting symptom of the tumour, which is located within or affects the cerebral cortex. The tumour may be a primary intracranial tumour or a metastatic tumour.",,,
8A60.7,Epilepsy with mesial temporal sclerosis,Epilepsy associated with imaging and/or pathologic findings of mesial temporal sclerosis. Onset of epilepsy may be in childhood or adulthood. A history of prolonged febrile seizures is common.,,,
8A60.8,Epilepsy due to immune disorders,"Epilepsy in relation to immunological or autoimmune disorders, such as systemic lupus erythematosus [1], inflammatory bowel disease [2], and antibody associated encephalitis (e.g. NMDA receptors) [3]. Antibody associated encephalitis is often a limbic encephalitis, and is sometimes paraneoplastic. Excludes multiple sclerosis and other demyelinating disorders.",,,
8A60.9,Epilepsy due to abnormalities of brain development,"Epilepsy due to disorders of cortical development encompassing a wide range of etiologies, with effects that depend on the stage of brain development. Seizure types usually reflect the topology of the malformation.",,,
8A60.A,Epilepsy due to genetic syndromes with widespread or progressive effects,"Epilepsy due to genetically determined conditions in which, as we currently understand it, there is a separate disorder interposed between the genetic defect and the epilepsy, for example, as in tuberous sclerosis. Includes epilepsy due to documented autosomal, X-linked, mitochondrial or chromosomal abnormalities.",,,
8A60.B,Epilepsy due to multiple sclerosis or other demyelinating disorders,"Epilepsy with onset in a patient with established diagnosis of multiple sclerosis (MS) or other demyelinating disorder. Seizures must occur during the disease course, but not in close temporal relationship with an acute phase. The duration of MS symptoms prior to first seizure is generally several years.",,,
8A60.Y,Epilepsy due to other structural or metabolic condition or disease,,,,
8A60.Z,Epilepsy due to unspecified structural or metabolic condition or disease,,,,
8A61.00,Pyridoxal dependent epilepsy,"Pyridoxal 5-phosphate dependent epilepsy usually presents with neonatal intractable seizures and is diagnosed by cerebrospinal fluid (CSF) analysis, gene testing, and clinical response. The majority of patients have pyridoxamine 5'-phosphate oxidase (PNPO) gene disease causing mutations. Early diagnosis and effective treatment can lead to a relatively favourable neurodevelopmental outcome.",,,
8A61.0Y,Other specified genetic epileptic syndromes with neonatal onset,,,,
8A61.0Z,"Genetic epileptic syndromes with neonatal onset, unspecified",,,,
8A61.10,Benign familial infantile epilepsy,"Epilepsy characterised by the occurrence of repeated seizures in healthy infants with no prior medical history during the first year of life. The seizures manifest with motor arrest, impairment of consciousness, staring, eye and head deviation, and mild unilateral clonic convulsions. A family history of the same epilepsy is a constant finding. The pattern of inheritance is most probably autosomal dominant.",,,
8A61.11,Dravet syndrome,"A refractory epileptic encephalopathy occurring in otherwise healthy infants during the first year of life with clonic/tonic-clonic, generalised and unilateral seizures, hemiclonic or generalised status epilepticus. The interictal EEG may initially be normal but with time background activity deteriorates and bilateral asymmetric, focal or multifocal paroxysms of polyspike and slow-waves appear. Mutations in the voltage-gated sodium channel gene SCN1A are commonly found.",,,
8A61.12,Epilepsy of infancy with migrating focal seizures,"Epilepsy syndrome with onset between the first week of life and seven months of intractable, polymorphous focal seizures. Psychomotor development progressively deteriorates. A mutation of SCN1A may be found. The EEG shows multifocal, varying sites of seizure onset, and diffuse slowing.",,,
8A61.1Y,Other specified genetic epileptic syndromes with onset in infancy,,,,
8A61.1Z,"Genetic epileptic syndromes with onset in infancy, unspecified",,,,
8A61.20,Benign childhood epilepsy with centro-temporal spikes,"Epilepsy characterised by focal seizures, mainly during sleep, often with involvement of the mouth and face. Convulsive seizures may occur. A history of febrile seizures is common. Onset is maximal between 7 and 10 years of age. The electroencephalogram typically shows focal epileptiform discharges over one or both centrotemporal areas. Remission occurs before age 16 years.",,,
8A61.21,Childhood absence epilepsy,"Epilepsy with onset in an otherwise normal child of 2 to 12 years of age, often with multiple daily brief staring episodes lasting an average of 10 seconds. Absence seizures are usually provoked by hyperventilation. The electroencephalogram shows ictal and interictal diffuse 2.5-3 cycles per second spike and wave discharges. The genetic pattern is probably polygenetic.",,,
8A61.22,Epilepsy with myoclonic-astatic seizures,"Epilepsy beginning between the second and fifth year of life in a previously normal child with family history of seizures, that initially manifests as tonic-clonic seizures with myoclonic-astatic seizures beginning several weeks later. These seizures are characterised by a sudden loss of muscular tonus associated with forward or backward propulsion that may result in injury to the face and head if the patient falls.",,,
8A61.23,Myoclonic absences or absences with myoclonias,"Childhood epileptic syndrome characterised by absence seizures associated with severe rhythmic bilateral myoclonic jerks. The EEG pattern shows rhythmic, bilateral, synchronous, symmetric 3-Hz spike and slow-waves discharges associated with EMG myoclonic bursts at 3 Hz, superimposed to a progressively increasing tonic contraction.",,,
8A61.2Y,Other specified genetic epileptic syndromes with childhood onset,,,,
8A61.2Z,"Genetic epileptic syndromes with childhood onset, unspecified",,,,
